year,cds,ccode,cdcode,scode,rtype,dname,cname,sname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
2018-19,19647331935121.0,19.0,1964733.0,1935121.0,S,Los Angeles Unified,Los Angeles,Abraham Lincoln Senior High,No,0.9399624765478424,226.0,19.0,21,20,23,22,11,57.89
2018-19,19647330126615.0,19.0,1964733.0,126615.0,S,Los Angeles Unified,Los Angeles,Academies of Education and Empowerment at Carson High,No,0.7031539888682746,126.0,16.0,18,18,18,17,5,31.25
2018-19,19647330118588.0,19.0,1964733.0,118588.0,S,Los Angeles Unified,Los Angeles,Alain Leroy Locke College Preparatory Academy,Yes,0.964824120603015,382.0,112.0,14,14,16,15,7,6.25
2018-19,19647331933852.0,19.0,1964733.0,1933852.0,S,Los Angeles Unified,Los Angeles,Alexander Hamilton Senior High,No,0.653727901614143,585.0,139.0,23,23,21,21,75,53.96
2018-19,19647330127217.0,19.0,1964733.0,127217.0,S,Los Angeles Unified,Los Angeles,Alliance Alice M. Baxter College-Ready High,Yes,0.802013422818792,61.0,77.0,17,16,17,18,12,15.58
2018-19,19647330121285.0,19.0,1964733.0,121285.0,S,Los Angeles Unified,Los Angeles,Alliance Cindy and Bill Simon Technology Academy High,Yes,0.9645669291338582,123.0,155.0,15,14,16,16,13,8.39
2018-19,19647330108936.0,19.0,1964733.0,108936.0,S,Los Angeles Unified,Los Angeles,Alliance Collins Family College-Ready High,Yes,0.9395973154362416,141.0,70.0,18,20,19,18,19,27.14
2018-19,19647330111500.0,19.0,1964733.0,111500.0,S,Los Angeles Unified,Los Angeles,Alliance Dr. Olga Mohan High,Yes,0.9094922737306843,101.0,80.0,16,16,18,17,14,17.5
2018-19,19647330108894.0,19.0,1964733.0,108894.0,S,Los Angeles Unified,Los Angeles,Alliance Judy Ivie Burton Technology Academy High,Yes,0.9867768595041322,138.0,162.0,16,16,17,17,24,14.81
2018-19,19647330117606.0,19.0,1964733.0,117606.0,S,Los Angeles Unified,Los Angeles,Alliance Leichtman-Levine Family Foundation Environmental Science High,Yes,0.8649193548387096,128.0,155.0,18,18,18,18,40,25.81
2018-19,19647330111658.0,19.0,1964733.0,111658.0,S,Los Angeles Unified,Los Angeles,Alliance Marc & Eva Stern Math and Science,Yes,0.8550247116968699,141.0,157.0,19,18,19,19,48,30.57
2018-19,19647330124941.0,19.0,1964733.0,124941.0,S,Los Angeles Unified,Los Angeles,Alliance Margaret M. Bloomfield Technology Academy High,Yes,0.8933333333333333,114.0,139.0,17,16,16,16,19,13.67
2018-19,19647330116509.0,19.0,1964733.0,116509.0,S,Los Angeles Unified,Los Angeles,Alliance Morgan McKinzie High,Yes,0.9269406392694064,73.0,86.0,15,13,16,16,7,8.14
2018-19,19647330111641.0,19.0,1964733.0,111641.0,S,Los Angeles Unified,Los Angeles,Alliance Ouchi-O'Donovan 6-12 Complex,Yes,0.9135082604470359,130.0,148.0,15,14,16,16,16,10.81
2018-19,19647330111492.0,19.0,1964733.0,111492.0,S,Los Angeles Unified,Los Angeles,Alliance Patti And Peter Neuwirth Leadership Academy,Yes,0.9662522202486679,131.0,164.0,16,14,17,16,18,10.98
2018-19,19647330117598.0,19.0,1964733.0,117598.0,S,Los Angeles Unified,Los Angeles,Alliance Piera Barbaglia Shaheen Health Services Academy,Yes,0.958984375,105.0,143.0,15,13,15,15,4,2.8
2018-19,19647330124891.0,19.0,1964733.0,124891.0,S,Los Angeles Unified,Los Angeles,Alliance Renee and Meyer Luskin Academy High,Yes,0.9233716475095786,131.0,147.0,16,14,16,16,12,8.16
2018-19,19647330123141.0,19.0,1964733.0,123141.0,S,Los Angeles Unified,Los Angeles,Alliance Ted K. Tajima High,Yes,0.9325,59.0,110.0,17,16,18,17,24,21.82
2018-19,19647330121293.0,19.0,1964733.0,121293.0,S,Los Angeles Unified,Los Angeles,Alliance Tennenbaum Family Technology High,Yes,0.8821548821548821,89.0,89.0,15,14,16,16,10,11.24
