year,cds,ccode,cdcode,scode,rtype,sname,dname,cname,charter_school_(y/n),percent (%)_eligible frpm_(k-12),enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark11,pctbothbenchmark11
2018-19,1.96473E+13,19,1964733,1930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,No,0.904651163,206,102,31,30.39,14,13.73,14,13.73,219,174,42,24.14,12,6.9,11,6.32
2018-19,1.96473E+13,19,1964733,1931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,No,0.886031967,227,113,54,47.79,18,15.93,18,15.93,333,275,97,35.27,37,13.45,35,12.73
2018-19,1.96473E+13,19,1964733,1931856,S,Whitman Continuation,Los Angeles Unified,Los Angeles,No,0.657142857,18,14,,,,,,,17,5,,,,,,
2018-19,1.96473E+13,19,1964733,6061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,No,0.944504897,166,106,68,64.15,36,33.96,36,33.96,187,183,91,49.73,47,25.68,44,24.04
2018-19,1.96473E+13,19,1964733,119685,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,No,0.951307484,85,68,17,25,6,8.82,6,8.82,79,79,22,27.85,10,12.66,6,7.59
2018-19,1.96473E+13,19,1964733,1930387,S,Central High,Los Angeles Unified,Los Angeles,No,0.856887299,104,4,,,,,,,156,18,2,11.11,1,5.56,1,5.56
2018-19,1.96473E+13,19,1964733,1938885,S,University High School Charter,Los Angeles Unified,Los Angeles,Yes,0.737921906,336,193,121,62.69,82,42.49,76,39.38,307,315,194,61.59,117,37.14,110,34.92
2018-19,1.96473E+13,19,1964733,1996115,S,City of Angels,Los Angeles Unified,Los Angeles,No,0.73454782,292,23,14,60.87,7,30.43,7,30.43,352,83,46,55.42,16,19.28,16,19.28
2018-19,1.96473E+13,19,1964733,122341,S,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,No,0.917073171,85,31,11,35.48,1,3.23,1,3.23,113,100,40,40,8,8,8,8
2018-19,1.96473E+13,19,1964733,124370,S,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,No,0.850230415,87,29,17,58.62,6,20.69,5,17.24,100,89,43,48.31,18,20.22,15,16.85
2018-19,1.96473E+13,19,1964733,106864,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,Yes,0.948612539,123,123,58,47.15,30,24.39,26,21.14,132,127,79,62.2,57,44.88,48,37.8
2018-19,1.96473E+13,19,1964733,107755,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,Yes,0.619834711,202,80,62,77.5,53,66.25,48,60,241,77,66,85.71,62,80.52,59,76.62
2018-19,1.96473E+13,19,1964733,129536,S,Boyle Heights STEM High,Los Angeles Unified,Los Angeles,No,0.589371981,42,14,,,,,,,50,50,20,40,7,14,7,14
2018-19,1.96473E+13,19,1964733,1930429,S,View Park Continuation,Los Angeles Unified,Los Angeles,No,0.8125,39,3,,,,,,,17,19,4,21.05,0,0,0,0
2018-19,1.96473E+13,19,1964733,6069157,S,Berenece Carlson Home Hospital,Los Angeles Unified,Los Angeles,No,0.742063492,91,1,,,,,,,46,0,,,,,,
